ticker,exchange,last_date,backfill_complete
AAPL,us,2024-12-30,true
MSFT,us,2024-12-30,true
META,us,2024-12-30,true
NVDA,us,2024-12-30,true
BRK-B,us,2024-12-30,true
PG,us,2024-12-30,true
JNJ,us,2024-12-30,true
V,us,2024-12-30,true
GOOGL,us,2024-12-30,true
AMZN,us,2024-12-30,true
JPM,us,2024-12-30,true
TSLA,us,2024-12-30,true
DIS,us,2024-12-30,true
CRM,us,2024-12-30,true
MA,us,2024-12-30,true
UNH,us,2024-12-30,true
PYPL,us,2024-12-30,true
ADBE,us,2024-12-30,true
HD,us,2024-12-30,true
NFLX,us,2024-12-30,false
0700,hk,2024-12-30,true
9988,hk,2024-12-30,true
3690,hk,2024-12-30,true
1299,hk,2024-12-30,true
0883,hk,2024-12-30,true
2388,hk,2024-12-30,true
1810,hk,2024-12-30,false
1398,hk,2024-12-30,true
0939,hk,2024-12-30,true
0005,hk,2024-12-30,true
2318,hk,2024-12-30,true
0388,hk,2024-12-30,true
0002,hk,2024-12-30,true
2020,hk,2024-12-30,true
1024,hk,2024-12-30,true
